CHROMATOGRAM,
D:\2023\Period 8-23\119188 - Kimberly\119188-3.raw,
Data points: 4800,
Time(min),uAU
1.133279148,0.041208837
1.134523198,0.042320689
1.135767247,0.042968094
1.137011296,0.043235501
1.138255346,0.043685871
1.139499395,0.044586611
1.140743443,0.045487351
1.141987494,0.046275499
1.143231543,0.046542906
1.144475591,0.04631772
1.145719642,0.045431054
1.14696369,0.044474019
1.148207739,0.04371402
1.14945179,0.043559206
1.150695838,0.043967353
1.151939887,0.044347353
1.153183937,0.044459944
1.154427986,0.044037723
1.155672035,0.043235501
1.156916085,0.042095503
1.158160134,0.040505134
1.159404183,0.038351804
1.160648233,0.036128103
1.161892282,0.034579957
1.163136331,0.033890329
1.164380381,0.03483329
1.16562443,0.037028843
1.166868479,0.039660691
1.168112529,0.041405874
1.169356578,0.04191254
1.170600627,0.040997727
1.171844677,0.039914024
1.173088726,0.038731804
1.174332774,0.037901434
1.175576825,0.037619953
1.176820874,0.037845139
1.178064922,0.038759951
1.179308973,0.039491803
1.180553021,0.03968884
1.18179707,0.038956989
1.183041121,0.037901434
1.184285169,0.036733287
1.185529218,0.035888844
1.186773268,0.035339956
1.188017317,0.035142919
1.189261366,0.034622179
1.190505416,0.03417181
1.191749465,0.033763661
1.192993514,0.033707366
1.194237564,0.033749587
1.195481613,0.033777736
1.196725662,0.033059959
1.197969712,0.03251107
1.199213761,0.03222959
1.20045781,0.032356256
1.20170186,0.032553293
1.202945909,0.032496997
1.204189958,0.031891813
1.205434008,0.031272554
1.206678057,0.031216257
1.207922106,0.03177922
1.209166156,0.032412553
1.210410205,0.032314034
1.211654253,0.031174036
1.212898304,0.029682186
1.214142353,0.028317001
1.215386401,0.02730367
1.216630452,0.026811077
1.2178745,0.026698486
1.219118549,0.02654367
1.2203626,0.026698486
1.221606648,0.027022189
1.222850697,0.027796261
1.224094747,0.028570334
1.225338796,0.029625889
1.226582845,0.030582924
1.227826895,0.031342924
1.229070944,0.031610331
1.230314993,0.031300701
1.231559043,0.03049848
1.232803092,0.029611814
1.234047141,0.029217741
1.235291191,0.029175519
1.23653524,0.028964409
1.237779289,0.02879552
1.239023339,0.028331076
1.240267388,0.027585151
1.241511437,0.027092559
1.242755487,0.026642189
1.243999536,0.026515523
1.245243584,0.025797746
1.246487635,0.024573303
1.247731684,0.023433304
1.248975732,0.023320711
1.250219783,0.024080711
1.251463831,0.024967376
1.25270788,0.025544413
1.253951931,0.025924413
1.255195979,0.026177746
1.256440028,0.026431079
1.257684078,0.02654367
1.258928127,0.026839226
1.260172176,0.027331817
1.261416226,0.027416263
1.262660275,0.02699404
1.263904324,0.025924413
1.265148374,0.024573303
1.266392423,0.023855526
1.267636472,0.023897749
1.268880522,0.024151081
1.270124571,0.024137007
1.27136862,0.023658489
1.27261267,0.023053304
1.273856719,0.022785897
1.275100768,0.022476269
1.276344818,0.022405899
1.277588867,0.022588861
1.278832915,0.02296886
1.280076966,0.023250341
1.281321015,0.022997009
1.282565063,0.022222936
1.283809114,0.021209603
1.285053162,0.020337011
1.286297211,0.019816271
1.287541262,0.019788123
1.28878531,0.019999234
1.290029359,0.020674789
1.291273409,0.020928121
1.292517458,0.021111084
1.293761507,0.021589603
1.295005557,0.022546639
1.296249606,0.023883674
1.297493655,0.02505182
1.298737705,0.02581182
1.299981754,0.025685153
1.301225803,0.025319227
1.302469853,0.024784414
1.303713902,0.024643673
1.304957951,0.024671821
1.306202001,0.02491108
1.30744605,0.025136266
1.308690099,0.025079969
1.309934149,0.024868859
1.311178198,0.024221451
1.312422247,0.023771081
1.313666297,0.023686637
1.314910346,0.023827377
1.316154394,0.024165156
1.317398445,0.0242496
1.318642494,0.02379923
1.319886542,0.023292564
1.321130593,0.022842194
1.322374641,0.022476269
1.32361869,0.022208861
1.324862741,0.02230738
1.326106789,0.022602934
1.327350838,0.022785897
1.328594888,0.022152566
1.329838937,0.021167381
1.331082986,0.02036516
1.332327036,0.020252567
1.333571085,0.020829604
1.334815134,0.021195529
1.336059184,0.021082937
1.337303233,0.020463679
1.338547282,0.020111827
1.339791332,0.01991479
1.341035381,0.019717753
1.34227943,0.019858494
1.34352348,0.02043553
1.344767529,0.021223677
1.346011578,0.021659973
1.347255628,0.021645899
1.348499677,0.02147701
1.349743725,0.021364417
1.350987776,0.021955529
1.352231825,0.022814046
1.353475873,0.02379923
1.354719924,0.024559229
1.355963972,0.025122191
1.357208021,0.025079969
1.358452072,0.024305896
1.35969612,0.022715527
1.360940169,0.020266641
1.362184219,0.016959239
1.363428268,0.013637761
1.364672317,0.011048134
1.365916367,0.00992221
1.367160416,0.010119247
1.368404465,0.011005913
1.369648515,0.011371837
1.370892564,0.010879246
